Année,Catégorie,Sous-catégorie,Valeur
2010,Indicateur macroeconomique,Depenses courantes (D3),1960.5
2011,Indicateur macroeconomique,Depenses courantes (D3),1818.9
2012,Indicateur macroeconomique,Depenses courantes (D3),2365.44
2013,Indicateur macroeconomique,Depenses courantes (D3),2355.192
2014,Indicateur macroeconomique,Depenses courantes (D3),2583.152
2015,Indicateur macroeconomique,Depenses courantes (D3),3074.733
2016,Indicateur macroeconomique,Depenses courantes (D3),0
2017,Indicateur macroeconomique,Depenses courantes (D3),3887.538
2018,Indicateur macroeconomique,Depenses courantes (D3),0
2019,Indicateur macroeconomique,Depenses courantes (D3),0
2020,Indicateur macroeconomique,Depenses courantes (D3),0
1970,Indicateur macroeconomique,Investissements sur ressources internes
1971,Indicateur macroeconomique,Investissements sur ressources internes
1972,Indicateur macroeconomique,Investissements sur ressources internes
1973,Indicateur macroeconomique,Investissements sur ressources internes
1974,Indicateur macroeconomique,Investissements sur ressources internes
1975,Indicateur macroeconomique,Investissements sur ressources internes
1976,Indicateur macroeconomique,Investissements sur ressources internes
1977,Indicateur macroeconomique,Investissements sur ressources internes
1978,Indicateur macroeconomique,Investissements sur ressources internes
1979,Indicateur macroeconomique,Investissements sur ressources internes
1980,Indicateur macroeconomique,Investissements sur ressources internes
1981,Indicateur macroeconomique,Investissements sur ressources internes
1982,Indicateur macroeconomique,Investissements sur ressources internes
1983,Indicateur macroeconomique,Investissements sur ressources internes
1984,Indicateur macroeconomique,Investissements sur ressources internes
1985,Indicateur macroeconomique,Investissements sur ressources internes
1986,Indicateur macroeconomique,Investissements sur ressources internes
1987,Indicateur macroeconomique,Investissements sur ressources internes
1988,Indicateur macroeconomique,Investissements sur ressources internes
1989,Indicateur macroeconomique,Investissements sur ressources internes
1990,Indicateur macroeconomique,Investissements sur ressources internes
1991,Indicateur macroeconomique,Investissements sur ressources internes
1992,Indicateur macroeconomique,Investissements sur ressources internes
1993,Indicateur macroeconomique,Investissements sur ressources internes
1994,Indicateur macroeconomique,Investissements sur ressources internes
1995,Indicateur macroeconomique,Investissements sur ressources internes
1996,Indicateur macroeconomique,Investissements sur ressources internes
1997,Indicateur macroeconomique,Investissements sur ressources internes
1998,Indicateur macroeconomique,Investissements sur ressources internes
1999,Indicateur macroeconomique,Investissements sur ressources internes
2000,Indicateur macroeconomique,Investissements sur ressources internes
2001,Indicateur macroeconomique,Investissements sur ressources internes,87.8
2002,Indicateur macroeconomique,Investissements sur ressources internes,145.9
2003,Indicateur macroeconomique,Investissements sur ressources internes,124.6
2004,Indicateur macroeconomique,Investissements sur ressources internes,152.2
2005,Indicateur macroeconomique,Investissements sur ressources internes,133.7
2006,Indicateur macroeconomique,Investissements sur ressources internes,211.3
2007,Indicateur macroeconomique,Investissements sur ressources internes,187.5
2008,Indicateur macroeconomique,Investissements sur ressources internes,222
2009,Indicateur macroeconomique,Investissements sur ressources internes,237.9
2010,Indicateur macroeconomique,Investissements sur ressources internes,263.42
2011,Indicateur macroeconomique,Investissements sur ressources internes,330.803
2012,Indicateur macroeconomique,Investissements sur ressources internes,510.34
2013,Indicateur macroeconomique,Investissements sur ressources internes,618.03
2014,Indicateur macroeconomique,Investissements sur ressources internes,608.07
2015,Indicateur macroeconomique,Investissements sur ressources internes,816.95
2016,Indicateur macroeconomique,Investissements sur ressources internes,1054.31
2017,Indicateur macroeconomique,Investissements sur ressources internes,927.19
2018,Indicateur macroeconomique,Investissements sur ressources internes,891.22
2019,Indicateur macroeconomique,Investissements sur ressources internes,977.35
2020,Indicateur macroeconomique,Investissements sur ressources internes,1274.77
1970,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1971,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1972,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1973,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1974,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1975,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1976,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1977,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1978,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1979,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1980,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1981,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1982,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1983,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1984,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1985,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1986,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1987,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1988,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1989,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1990,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1991,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1992,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1993,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1994,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1995,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1996,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1997,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1998,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
1999,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
2000,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %)
2001,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),30.64
2002,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),23.124
2003,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),13.094
2004,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),14.033
2005,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),10.686
2006,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),9.626
2007,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),15.721
2008,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),11.934
2009,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),13.628
2010,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),7.598
2011,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-15.902
2012,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-7.41
2013,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-0.03
2014,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-1.96
2015,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-2.76
2016,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-9.26
2017,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),0.35
2018,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),5.54
2019,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),6.98
2020,Indicateur macroeconomique,Solde primaire de base sur recettes fiscales (en %),-10.31
1970,Indicateur macroeconomique,Solde budgetaire de base
1971,Indicateur macroeconomique,Solde budgetaire de base
1972,Indicateur macroeconomique,Solde budgetaire de base
1973,Indicateur macroeconomique,Solde budgetaire de base
1974,Indicateur macroeconomique,Solde budgetaire de base
1975,Indicateur macroeconomique,Solde budgetaire de base
1976,Indicateur macroeconomique,Solde budgetaire de base
1977,Indicateur macroeconomique,Solde budgetaire de base
1978,Indicateur macroeconomique,Solde budgetaire de base
1979,Indicateur macroeconomique,Solde budgetaire de base
1980,Indicateur macroeconomique,Solde budgetaire de base
1981,Indicateur macroeconomique,Solde budgetaire de base
1982,Indicateur macroeconomique,Solde budgetaire de base
1983,Indicateur macroeconomique,Solde budgetaire de base
1984,Indicateur macroeconomique,Solde budgetaire de base
1985,Indicateur macroeconomique,Solde budgetaire de base
1986,Indicateur macroeconomique,Solde budgetaire de base
1987,Indicateur macroeconomique,Solde budgetaire de base
1988,Indicateur macroeconomique,Solde budgetaire de base
1989,Indicateur macroeconomique,Solde budgetaire de base
1990,Indicateur macroeconomique,Solde budgetaire de base
1991,Indicateur macroeconomique,Solde budgetaire de base
1992,Indicateur macroeconomique,Solde budgetaire de base
1993,Indicateur macroeconomique,Solde budgetaire de base
1994,Indicateur macroeconomique,Solde budgetaire de base
1995,Indicateur macroeconomique,Solde budgetaire de base
1996,Indicateur macroeconomique,Solde budgetaire de base
1997,Indicateur macroeconomique,Solde budgetaire de base
1998,Indicateur macroeconomique,Solde budgetaire de base
1999,Indicateur macroeconomique,Solde budgetaire de base
2000,Indicateur macroeconomique,Solde budgetaire de base
2001,Indicateur macroeconomique,Solde budgetaire de base,98.3
2002,Indicateur macroeconomique,Solde budgetaire de base,25.6
2003,Indicateur macroeconomique,Solde budgetaire de base,-61.6
2004,Indicateur macroeconomique,Solde budgetaire de base,-12
2005,Indicateur macroeconomique,Solde budgetaire de base,-43.4
2006,Indicateur macroeconomique,Solde budgetaire de base,-0.6
2007,Indicateur macroeconomique,Solde budgetaire de base,64.6
2008,Indicateur macroeconomique,Solde budgetaire de base,12.22
2009,Indicateur macroeconomique,Solde budgetaire de base,51.429
2010,Indicateur macroeconomique,Solde budgetaire de base,-47.796
2011,Indicateur macroeconomique,Solde budgetaire de base,-456.685
2012,Indicateur macroeconomique,Solde budgetaire de base,-397.01
2013,Indicateur macroeconomique,Solde budgetaire de base,-215.56
2014,Indicateur macroeconomique,Solde budgetaire de base,-264.09
2015,Indicateur macroeconomique,Solde budgetaire de base,-379.01
2016,Indicateur macroeconomique,Solde budgetaire de base,-670.75
2017,Indicateur macroeconomique,Solde budgetaire de base,-367.26
2018,Indicateur macroeconomique,Solde budgetaire de base,-231.95
2019,Indicateur macroeconomique,Solde budgetaire de base,-243.64
2020,Indicateur macroeconomique,Solde budgetaire de base,-1091.6
1970,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-13.4
1971,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-20.4
1972,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-6.3
1973,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-6.6
1974,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-1.1
1975,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-18.2
1976,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-41.1
1977,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",20.2
1978,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-148.7
1979,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-202
1980,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-272
1981,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-260
1982,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-331.1
1983,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-262
1984,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-29
1985,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",90
1986,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-95.5
1987,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-257
1988,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-447.1
1989,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-517.9
1990,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-352.2
1991,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-384.3
1992,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-344.8
1993,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-350.9
1994,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-289.4
1995,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-184.3
1996,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-112.6
1997,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-122.4
1998,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-118.3
1999,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-185.1
2000,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-89.6
2001,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",69.7
2002,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-122.1
2003,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-209.8
2004,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-150.9
2005,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-147.45
2006,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-126.5
2007,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-78.2
2008,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-41.08
2009,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",98.219
2010,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-217.119
2011,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-486.111
2012,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-432.51
2013,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-346.17
2014,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-376.23
2015,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-553.14
2016,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-838.53
2017,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-998.36
2018,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-1190.399
2019,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-1060.376
2020,Indicateur macroeconomique,"Solde budgetaire global, avec dons (base engagement) (R1 - D1)",-2159.132
1970,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-13.4
1971,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-20.4
1972,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-6.3
1973,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-6.6
1974,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-1.1
1975,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-18.2
1976,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-41.1
1977,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",20.2
1978,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-148.7
1979,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-202
1980,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-272
1981,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-260
1982,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-331.1
1983,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-262
1984,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-29
1985,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",90
1986,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-95.5
1987,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-257
1988,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-447.1
1989,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-517.9
1990,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-352.2
1991,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-399.3
1992,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-359.8
1993,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-365.9
1994,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-319.1
1995,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-219.3
1996,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-153.1
1997,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-166.5
1998,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-168.8
1999,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-250
2000,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-123.1
2001,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",29.4
2002,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-163.2
2003,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-259.2
2004,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-226.8
2005,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-242.15
2006,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-141.6
2007,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-131.8
2008,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-224.38
2009,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-230.68
2010,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-323.659
2011,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-518.972
2012,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-513.72
2013,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-547.63
2014,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-680.22
2015,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-835.34
2016,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-1092.04
2017,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",-1264.49
2018,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",0
2019,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",0
2020,Indicateur macroeconomique,"Solde budgetaire global, hors dons (base engagement) (R2 - D1)",0
1970,Indicateur macroeconomique,Encours de la dette,103.25
1971,Indicateur macroeconomique,Encours de la dette,141.63
1972,Indicateur macroeconomique,Encours de la dette,146.14
1973,Indicateur macroeconomique,Encours de la dette,192.4
1974,Indicateur macroeconomique,Encours de la dette,256.65
1975,Indicateur macroeconomique,Encours de la dette,313.87
1976,Indicateur macroeconomique,Encours de la dette,436.75
1977,Indicateur macroeconomique,Encours de la dette,632.1
1978,Indicateur macroeconomique,Encours de la dette,865.61
1979,Indicateur macroeconomique,Encours de la dette,1015.14
1980,Indicateur macroeconomique,Encours de la dette,1576.66
1981,Indicateur macroeconomique,Encours de la dette,2212.12
1982,Indicateur macroeconomique,Encours de la dette,2944.77
1983,Indicateur macroeconomique,Encours de la dette,3375.65
1984,Indicateur macroeconomique,Encours de la dette,3734.19
1985,Indicateur macroeconomique,Encours de la dette,4339.45
1986,Indicateur macroeconomique,Encours de la dette,3965.14
1987,Indicateur macroeconomique,Encours de la dette,4080.41
1988,Indicateur macroeconomique,Encours de la dette,3973.97
1989,Indicateur macroeconomique,Encours de la dette,4727.91
1990,Indicateur macroeconomique,Encours de la dette,4696.88
1991,Indicateur macroeconomique,Encours de la dette,5127.02
1992,Indicateur macroeconomique,Encours de la dette,4909.11
1993,Indicateur macroeconomique,Encours de la dette,5400.16
1994,Indicateur macroeconomique,Encours de la dette,9657.88
1995,Indicateur macroeconomique,Encours de la dette,9433.17
1996,Indicateur macroeconomique,Encours de la dette,9987.36
1997,Indicateur macroeconomique,Encours de la dette,9110.31
1998,Indicateur macroeconomique,Encours de la dette,8761.85
1999,Indicateur macroeconomique,Encours de la dette,8108.75
2000,Indicateur macroeconomique,Encours de la dette,6347.4
2001,Indicateur macroeconomique,Encours de la dette,6158.26
2002,Indicateur macroeconomique,Encours de la dette,6155.9
2003,Indicateur macroeconomique,Encours de la dette,5486.4
2004,Indicateur macroeconomique,Encours de la dette,4976.3
2005,Indicateur macroeconomique,Encours de la dette,4667.4
2006,Indicateur macroeconomique,Encours de la dette,4472.6
2007,Indicateur macroeconomique,Encours de la dette,4099.36
2008,Indicateur macroeconomique,Encours de la dette,3977.41
2009,Indicateur macroeconomique,Encours de la dette,5338.19
2010,Indicateur macroeconomique,Encours de la dette,5611.13
2011,Indicateur macroeconomique,Encours de la dette,4907.989
2012,Indicateur macroeconomique,Encours de la dette,3884.973
2013,Indicateur macroeconomique,Encours de la dette,2605.422
2014,Indicateur macroeconomique,Encours de la dette,3308.666
2015,Indicateur macroeconomique,Encours de la dette,4489.097
2016,Indicateur macroeconomique,Encours de la dette,4974.158
2017,Indicateur macroeconomique,Encours de la dette,5770.013
2018,Indicateur macroeconomique,Encours de la dette,7613.379
2019,Indicateur macroeconomique,Encours de la dette
2020,Indicateur macroeconomique,Encours de la dette
1970,Indicateur macroeconomique,Service de la dette regle,11.1
1971,Indicateur macroeconomique,Service de la dette regle,12.33
1972,Indicateur macroeconomique,Service de la dette regle,14.51
1973,Indicateur macroeconomique,Service de la dette regle,15.93
1974,Indicateur macroeconomique,Service de la dette regle,27.56
1975,Indicateur macroeconomique,Service de la dette regle,27.83
1976,Indicateur macroeconomique,Service de la dette regle,43.01
1977,Indicateur macroeconomique,Service de la dette regle,66.13
1978,Indicateur macroeconomique,Service de la dette regle,89.22
1979,Indicateur macroeconomique,Service de la dette regle,125.14
1980,Indicateur macroeconomique,Service de la dette regle,183.84
1981,Indicateur macroeconomique,Service de la dette regle,249.75
1982,Indicateur macroeconomique,Service de la dette regle,311.58
1983,Indicateur macroeconomique,Service de la dette regle,301.01
1984,Indicateur macroeconomique,Service de la dette regle,282.32
1985,Indicateur macroeconomique,Service de la dette regle,267.09
1986,Indicateur macroeconomique,Service de la dette regle,277.25
1987,Indicateur macroeconomique,Service de la dette regle,173.45
1988,Indicateur macroeconomique,Service de la dette regle,136.07
1989,Indicateur macroeconomique,Service de la dette regle,126.36
1990,Indicateur macroeconomique,Service de la dette regle,142.67
1991,Indicateur macroeconomique,Service de la dette regle,174.37
1992,Indicateur macroeconomique,Service de la dette regle,147.96
1993,Indicateur macroeconomique,Service de la dette regle,161.65
1994,Indicateur macroeconomique,Service de la dette regle,384.67
1995,Indicateur macroeconomique,Service de la dette regle,384.88
1996,Indicateur macroeconomique,Service de la dette regle,434.89
1997,Indicateur macroeconomique,Service de la dette regle,463.62
1998,Indicateur macroeconomique,Service de la dette regle,522.58
1999,Indicateur macroeconomique,Service de la dette regle,610.64
2000,Indicateur macroeconomique,Service de la dette regle,270.6
2001,Indicateur macroeconomique,Service de la dette regle,255.4
2002,Indicateur macroeconomique,Service de la dette regle,440.3
2003,Indicateur macroeconomique,Service de la dette regle,159.6
2004,Indicateur macroeconomique,Service de la dette regle,114.2
2005,Indicateur macroeconomique,Service de la dette regle,55.59
2006,Indicateur macroeconomique,Service de la dette regle,58.53
2007,Indicateur macroeconomique,Service de la dette regle,119.01
2008,Indicateur macroeconomique,Service de la dette regle,404.1
2009,Indicateur macroeconomique,Service de la dette regle,130.354
2010,Indicateur macroeconomique,Service de la dette regle,367.43
2011,Indicateur macroeconomique,Service de la dette regle,78.726
2012,Indicateur macroeconomique,Service de la dette regle,140.663
2013,Indicateur macroeconomique,Service de la dette regle,144.97
2014,Indicateur macroeconomique,Service de la dette regle,176.04
2015,Indicateur macroeconomique,Service de la dette regle,263.98
2016,Indicateur macroeconomique,Service de la dette regle,333.03
2017,Indicateur macroeconomique,Service de la dette regle,539.009
2018,Indicateur macroeconomique,Service de la dette regle,600.492
2019,Indicateur macroeconomique,Service de la dette regle
2020,Indicateur macroeconomique,Service de la dette regle
1970,Indicateur macroeconomique,Interets,3.24
1971,Indicateur macroeconomique,Interets,4.21
1972,Indicateur macroeconomique,Interets,4.58
1973,Indicateur macroeconomique,Interets,6.05
1974,Indicateur macroeconomique,Interets,9.5
1975,Indicateur macroeconomique,Interets,11.89
1976,Indicateur macroeconomique,Interets,15.95
1977,Indicateur macroeconomique,Interets,25.25
1978,Indicateur macroeconomique,Interets,39.13
1979,Indicateur macroeconomique,Interets,50.44
1980,Indicateur macroeconomique,Interets,74.52
1981,Indicateur macroeconomique,Interets,106.2
1982,Indicateur macroeconomique,Interets,153.34
1983,Indicateur macroeconomique,Interets,156.91
1984,Indicateur macroeconomique,Interets,188.23
1985,Indicateur macroeconomique,Interets,195.83
1986,Indicateur macroeconomique,Interets,182.98
1987,Indicateur macroeconomique,Interets,97.29
1988,Indicateur macroeconomique,Interets,61.39
1989,Indicateur macroeconomique,Interets,60.51
1990,Indicateur macroeconomique,Interets,55.86
1991,Indicateur macroeconomique,Interets,81.59
1992,Indicateur macroeconomique,Interets,64.62
1993,Indicateur macroeconomique,Interets,63.62
1994,Indicateur macroeconomique,Interets,164.2
1995,Indicateur macroeconomique,Interets,128.27
1996,Indicateur macroeconomique,Interets,168.59
1997,Indicateur macroeconomique,Interets,157.47
1998,Indicateur macroeconomique,Interets,298.35
1999,Indicateur macroeconomique,Interets,282.22
2000,Indicateur macroeconomique,Interets,103.8
2001,Indicateur macroeconomique,Interets,93.3
2002,Indicateur macroeconomique,Interets,112.9
2003,Indicateur macroeconomique,Interets,41.8
2004,Indicateur macroeconomique,Interets,12.5
2005,Indicateur macroeconomique,Interets,2.43
2006,Indicateur macroeconomique,Interets,2.18
2007,Indicateur macroeconomique,Interets,23.13
2008,Indicateur macroeconomique,Interets,89.6
2009,Indicateur macroeconomique,Interets,31.353
